"LineId","Aggression","Category","Genotype"
"line_335",20.6616,"MEDIUM","0"
"line_336",25.8116,"MEDIUM","2"
"line_338",20.6116,"MEDIUM","2"
"line_340",11.2116,"LOW","2"
"line_348",18.2116,"LOW","2"
"line_350",46.3116,"MEDIUM","0"
"line_352",4.4616,"LOW","2"
"line_354",13.5116,"LOW","2"
"line_355",32.2616,"MEDIUM","2"
"line_356",9.9116,"LOW","2"
"line_357",42.2616,"MEDIUM","2"
"line_358",48.3116,"MEDIUM","0"
"line_359",16.9616,"LOW","2"
"line_360",23.5116,"MEDIUM","2"
"line_361",16.3616,"LOW","2"
"line_362",36.4616,"MEDIUM","2"
"line_365",37.8116,"MEDIUM","0"
"line_367",11.7616,"LOW","2"
"line_370",19.5616,"LOW","2"
"line_371",18.3116,"LOW","2"
"line_373",15.7616,"LOW","0"
"line_374",10.4116,"LOW","2"
"line_375",24.2616,"MEDIUM","2"
"line_377",25.9616,"MEDIUM","0"
"line_379",12.1116,"LOW","0"
"line_38",16.0116,"LOW","2"
"line_380",12.9696,"LOW","2"
"line_381",22.1616,"MEDIUM","0"
"line_382",16.7116,"LOW","2"
"line_383",12.4116,"LOW","2"
"line_385",27.2116,"MEDIUM","2"
"line_386",21.0616,"MEDIUM","2"
"line_390",19.3116,"LOW","2"
"line_391",42.0216,"MEDIUM","0"
"line_392",43.4616,"MEDIUM","2"
"line_397",14.4616,"LOW","2"
"line_399",38.9696,"MEDIUM","-"
"line_40",13.5616,"LOW","2"
"line_405",13.1616,"LOW","2"
"line_406",51.4696,"HIGH","0"
"line_409",18.0616,"LOW","2"
"line_41",31.8116,"MEDIUM","2"
"line_42",28.4116,"MEDIUM","2"
"line_426",20.0616,"MEDIUM","2"
"line_427",47.3196,"MEDIUM","2"
"line_437",19.2816,"LOW","2"
"line_439",14.6116,"LOW","2"
"line_440",10.4616,"LOW","0"
"line_441",18.2616,"LOW","0"
"line_443",23.3616,"MEDIUM","2"
"line_45",8.9116,"LOW","2"
"line_461",24.5616,"MEDIUM","2"
"line_48",19.1116,"LOW","2"
"line_486",22.5623,"MEDIUM","2"
"line_49",31.6616,"MEDIUM","-"
"line_491",23.2116,"MEDIUM","0"
"line_492",39.9116,"MEDIUM","0"
"line_502",13.4616,"LOW","2"
"line_505",10.1116,"LOW","2"
"line_508",17.5116,"LOW","2"
"line_509",20.4616,"MEDIUM","2"
